# residual, uncalibrated_uncertainty_estimate, calibrated_uncertainty_estimate
-3.184866280705833663e-01,4.754521363019438285e-01,3.842664780093786869e-01
-3.618497636500714876e-01,3.791343565662668169e-01,3.599177623344816945e-01
6.856075551568603654e-02,3.094088498436955437e-01,3.422914575843614138e-01
-1.267543223554849219e-01,3.582675496251545577e-01,3.546427243233645221e-01
1.486759022873574386e-02,4.922669918608884587e-01,3.885172003395940266e-01
4.232531800921097119e-03,2.677921554857709552e-01,3.317709383091974051e-01
8.284148364909546536e-02,2.444804655888405953e-01,3.258778445236117927e-01
-4.832217613421179066e-03,4.671309848027408451e-01,3.821629271125676075e-01
7.867676423550551412e-01,4.063975968017572993e-01,3.668097908539522667e-01
3.999984727854969530e-02,3.136003021113392131e-01,3.433510384821959471e-01
-4.700498339821231886e-01,5.683459734723415036e-01,4.077496359000539750e-01
3.661046207137361730e-01,2.701895665329668850e-01,3.323769933916985164e-01
2.317435845855256027e-01,3.522026081801263309e-01,3.531095335123310419e-01
-1.126092338732767595e-01,5.785765033342439301e-01,4.103358693399713486e-01
-9.048080609537677566e-01,6.881924070758255185e-01,4.380462929084458779e-01
-3.066618831816774748e-01,4.039705989992175561e-01,3.661962563684210137e-01
-3.636794751269755155e-01,3.753485144907136029e-01,3.589607179285508876e-01
3.299409377717029135e-01,3.211006359556550782e-01,3.452470902469192415e-01
4.895280495483187444e-01,4.381921587964168197e-01,3.748473178000711892e-01
2.137099621349674433e-02,2.559187815775095798e-01,3.287694010417544499e-01
1.827907229788185151e-01,3.413115282314067023e-01,3.503563158842701863e-01
3.187334624491112156e-01,3.845202099303226539e-01,3.612792826331011620e-01
-2.679376062083123622e-01,2.946111436299832520e-01,3.385506618327658868e-01
7.669595695741198149e-01,2.743804441157507990e-01,3.334364290117007856e-01
1.771598664259824152e-01,2.606453462052274461e-01,3.299642560161439864e-01
-6.612656930118353607e-03,3.275371124401419420e-01,3.468742034995192514e-01
-4.321036105038680297e-01,3.254966459623531150e-01,3.463583824512332376e-01
6.448082384030702496e-02,3.209117567209361921e-01,3.451993423981244979e-01
-1.820979367449412356e-01,4.665896170790679864e-01,3.820260717073096224e-01
-8.285586610895061266e-02,3.951091582289349979e-01,3.639561226944755812e-01
4.914532462685940878e-02,2.273079953063888714e-01,3.215367187471404598e-01
4.377824243475033072e-01,3.192228323351236075e-01,3.447723896612632233e-01
-5.403621226471115868e-01,3.019879917503676126e-01,3.404154969437189759e-01
7.789403209220298330e-02,3.187436350507137917e-01,3.446512506725707969e-01
1.441016197586395542e-01,3.760629802630253704e-01,3.591413317674205796e-01
-2.901125037460183798e-01,2.814270862967631626e-01,3.352177894977819150e-01
-4.457971406554560034e-01,2.552348949602258332e-01,3.285965174802374933e-01
-9.701972736504903549e-01,5.240013083798610305e-01,3.965394974915645299e-01
6.786195396348382314e-01,3.651791979243809161e-01,3.563899589434376125e-01
1.152980636770439410e-01,3.506806405511065372e-01,3.527247867172211837e-01
-2.685302097388041556e-02,5.262360544996042000e-01,3.971044315880992714e-01
-3.557811954454918185e-02,2.338034890721170656e-01,3.231787513116763932e-01
5.591885562973396284e-02,9.029774346180978739e-01,4.923430134225977306e-01
2.928419988710234678e-01,3.012952855201204705e-01,3.402403838224157262e-01
-3.762407021986766686e-01,5.566938423948734060e-01,4.048040278576915396e-01
2.443347414239874227e-01,5.304743454055766971e-01,3.981758530899260906e-01
-3.225188883468266821e-01,2.716435332816201087e-01,3.327445498600978824e-01
-3.326619300334616725e-01,3.649281693793876014e-01,3.563265000193936993e-01
-1.228871151346526830e-01,3.193982152726503321e-01,3.448167257048450063e-01
2.590956708116968765e-01,3.051808431144521494e-01,3.412226358776691559e-01
5.264041872890696805e-01,3.739193098433923335e-01,3.585994212116377367e-01
-7.393923434381416415e-01,2.036396815677118111e-01,3.155534720058968956e-01
