is_testdata,Material Composition,EnergyAboveHull (meV/atom),Coeficient of Thermal Expansion (10^-6 K-1)_AB_avg,Asite_HHIp_min,host_Bsite0_IsFCC,Asite_HHIp_weighted_avg, BP (K)_AB_avg,Asite_Coeficient of Thermal Expansion (10^-6 K-1)_max,host_Bsite0_Group,Asite_Ionic Radius (angstroms)_range,Bsite_IsFCC_weighted_avg,MendeleevNumber_AB_avg,Asite_HHIr_min,Bsite_NUnfilled_weighted_avg,BCCenergy_pa_AB_avg,Bsite_Electro-  negativity_max,Asite_electrical conductivity_max,Asite_Coeficient of Thermal Expansion (10^-6 K-1)_weighted_avg,host_Bsite0_NUnfilled,Bsite_NUnfilled_min,Asite_GSenergy_pa_max,host_Bsite0_NdUnfilled,Heat of Vaporization_AB_avg,Asite_ BP (K)_weighted_avg,Bsite_Group_max,Second Ionization Potential  (V)_AB_avg,At. Radius   (angstroms)_AB_avg,Asite_shannon_radii_range,Asite_BCCenergydiff_min,Asite_HHIr_weighted_avg,Bsite_Group_weighted_avg,Asite_ BP (K)_max,host_Bsite0_At. Radius   (angstroms),num_of_atoms_host_Asite0,Bsite_IsBCC_weighted_avg,HHIp_AB_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NdValence_weighted_avg,BCCfermi_AB_ratio,Asite_NUnfilled_max,Bsite_Heat of Vaporization_weighted_avg,Asite_BCCenergy_pa_max,Asite_BCCvolume_pa_range,MendeleevNumber_AB_ratio,num_of_atoms_host_Bsite0,host_Bsite0_NdValence,Bsite_BCCvolume_pa_max,Bsite_IsFCC_max,Asite_IsRareEarth_max,BCCenergydiff_AB_diff,Asite_heat of fusion_min,GSenergy_pa_AB_avg,Bsite_BCCfermi_weighted_avg,Atomic Radius (Å)_AB_avg,Bsite_Most stable oxidation State_range,Asite_Ionic Radius (angstroms)_min,Asite_MendeleevNumber_min,BCCfermi_AB_avg,num_of_atoms_host_Asite0,Electron Affinity (kJ/mol)_AB_avg,heat of fusion_AB_diff,Bsite_thermal conductivity_max,Bsite_Coeficient of Thermal Expansion (10^-6 K-1)_weighted_avg,Asite_electrical conductivity_weighted_avg,First Ionization Potential (V)_AB_avg,Asite_ICSDVolume_range,Electro-  negativity_AB_diff,Bsite_NdValence_max,host_Bsite0_BCCenergy_pa,num_of_atoms_host_Bsite0,Asite_NUnfilled_weighted_avg,Asite_thermal conductivity_max
0,Ba1Sr7V8O24,29.74770732,15.33125,300,0,405,2678.9375,22.5,5,0.16,0,27.0625,230,7,-5.323949197,1.63,5,22.2625,7,7,-1.6828136,7,292.00625,1707.875,5,12.775875,2.204375,0.17,0,291.25,5,2078,1.92,7,1,367.5,7,3,0.262850136,0,446.7,-1.67793991,10.68,0.176630435,8,3,13.01,0,0,0.002132239,8.01,-5.326081436,6.45502198,1.739875,0,1.26,8,4.075862694,7,-51.75,-7.311875,30.7,8.4,4.725,6.1873125,6.8,-0.34375,3,-8.93926069,8,0,18.4
0,Ba2Bi2Pr4Co8O24,106.702335,12.1,300,0,682.5,3007.125,20.6,9,0.39,0,45.125,230,3,-5.379541495,1.88,2.8,11.2,3,3,-1.92352226,3,309.7075,2871.25,9,14.504125,2.05125,0.44,0,362.5,9,3785,1.67,4,0,342.8,3,7,0.702185723,11,373.3,-1.92352226,33.68,0.556034483,8,7,10.44,0,1,-0.009039925,8.01,-5.470804145,6.14041474,1.5735,0,1.03,9,5.226063153,4,54.75,-3.20875,100,13,1.675,6.857625,28.3,-0.29375,7,-6.98008657,8,6.25,18.4
0,Ba2Ca6Fe8O24,171.6080933,16.8375,300,0,367.5,2430.125,22.3,8,0.42,0,31.25,150,4,-5.105904666,1.83,31.3,21.875,4,4,-1.92352226,4,250.27625,1837.25,8,13.792125,2.04125,0.27,0,170,8,2078,1.72,6,1,303.75,4,6,0.398586448,0,349.5,-1.92352226,26.77,0.136363636,8,6,10.73,0,0,0.007901383,8.01,-5.113806049,6.45149343,1.63675,0,1,7,4.51148564,6,-53,-2.7,80.2,11.8,24.175,6.878875,18.7,-0.42875,6,-8.28548436,8,0,200
0,Ba2Cd2Pr4Ni8O24,284.8981896,14.475,170,1,592.5,2838.5,30.8,10,0.47,1,44.625,130,2,-4.214687143,1.91,14.7,15.55,2,2,-0.812174225,2,301.91625,2672,10,15.08575,2.03625,0.41,0,245,10,3785,1.62,4,0,346.25,2,8,0.624141546,11,377.5,-0.74033904,43.94,0.463114754,8,8,10.33,1,1,-0.013290837,6.07,-4.308581836,5.09579251,1.543625,0,0.95,9,4.138144164,4,61.5,-4.33,90.7,13.4,5.125,6.958125,41.3,-0.35,8,-5.43913904,8,5.5,96.8
0,Ba2Dy6Fe8O24,270.0079129,12.075,300,0,787.5,2836.25,20.6,8,0.39,0,40.25,230,4,-6.05395024,1.83,2.8,12.35,4,4,-1.92352226,4,278.525,2649.5,8,13.71675,2.13875,0.527,0,290,8,2840,1.72,6,1,513.75,4,6,0.452328625,4,349.5,-1.92352226,32.38,0.463636364,8,6,10.73,0,1,0.054815142,8.01,-6.108765383,6.45149343,1.562875,0,1.03,9,4.684844293,6,24.25,-1.75125,80.2,11.8,1.525,6.814,31.2,-0.34625,6,-8.28548436,8,3,18.4
0,Ba2Gd6Fe8O24,70.97342159,7.725,300,0,787.5,3100.625,20.6,8,0.37,0,38.75,230,4,-6.074690103,1.83,2.8,3.65,4,4,-1.92352226,4,309.16625,3178.25,8,13.876125,2.1575,0.503,0,290,8,3545,1.72,6,1,513.75,4,6,0.457068097,16,349.5,-1.92352226,30.96,0.409090909,8,6,10.73,0,1,0.053900351,8.01,-6.128590454,6.45149343,1.57375,0,1.05,9,4.700132626,6,24.25,-0.09375,80.2,11.8,1.3,6.89275,29.9,-0.35375,6,-8.28548436,8,12,18.4
0,Ba2Ho6Fe8O24,291.384616,12.15,300,0,787.5,2884.25,20.6,8,0.4,0,41,230,4,-6.046204038,1.83,2.8,12.5,4,4,-1.92352226,4,286.415,2745.5,8,13.767375,2.13125,0.49,0,290,8,2968,1.72,6,1,513.75,4,6,0.426450985,3,349.5,-1.92352226,32.27,0.490909091,8,6,10.73,0,1,0.053509754,8.01,-6.099713791,6.45149343,1.56025,0,1.02,9,4.601369578,6,24.25,0.5325,80.2,11.8,1.525,6.84325,31.7,-0.3425,6,-8.28548436,8,2.25,18.4
0,Ba2La6Co8O24,59.63498938,11.025,300,0,787.5,3232.625,20.6,9,0.26,0,35,230,3,-5.528932763,1.88,2.8,9.05,3,3,-1.92352226,3,354.01375,3322.25,9,13.927625,2.2075,0.25,0,290,9,3737,1.67,6,0,395.3,3,7,1.014772605,9,373.3,-1.92352226,26.12,0.206896552,8,7,10.44,0,1,-0.000770663,8.01,-5.628464674,6.14041474,1.607875,0,1.16,9,6.1857697,6,47.25,-2.85625,100,13,2.125,6.674,25.4,-0.41625,7,-6.98008657,8,6.75,18.4
0,Ba2La6Cr8O24,16.66840972,6.975,300,0,787.5,3133.625,20.6,6,0.26,0,30.5,230,6,-6.791293268,1.66,2.8,9.05,6,6,-1.92352226,5,337.11375,3322.25,6,13.647625,2.2975,0.25,0,290,6,3737,1.85,6,1,548.75,5,5,0.781132171,9,339.5,-1.92352226,26.12,0.244897959,8,5,11.17,0,1,0.048926144,8.01,-6.841128372,7.97704267,1.605875,0,1.16,9,7.104083665,6,44.25,-4.76125,93.7,4.9,2.125,6.127,25.4,-0.30625,5,-9.50480758,8,6.75,18.4
0,Ba2La6Fe8O24,0,10.425,300,0,787.5,3172.625,20.6,8,0.26,0,33.5,230,4,-6.181631658,1.83,2.8,9.05,4,4,-1.92352226,4,342.11375,3322.25,8,13.487625,2.2325,0.25,0,290,8,3737,1.72,6,1,513.75,4,6,0.965842208,9,349.5,-1.92352226,26.12,0.218181818,8,6,10.73,0,1,0.049380624,8.01,-6.231012282,6.45149343,1.601875,0,1.16,9,6.341309045,6,24.25,-1.66125,80.2,11.8,2.125,6.679,25.4,-0.39125,6,-8.28548436,8,6.75,18.4
0,Ba2La6Ga8O24,94.50620971,14.375,300,0,787.5,2900.125,20.6,13,0.26,0,43,230,5,-3.528084858,1.81,2.8,9.05,5,5,-1.92352226,0,295.39375,3322.25,13,15.652625,2.2775,0.25,0,290,13,3737,1.81,6,0,668.75,0,10,1.577557133,9,256.06,-1.92352226,26.12,0.162162162,8,10,17.94,0,1,0.032448353,8.01,-3.594397753,3.94985673,1.686375,0,1.16,9,5.090490695,6,26.75,2.44375,40.6,19.7,2.125,5.7435,25.4,-0.38125,10,-2.97839076,8,6.75,18.4
1,Ba2La6Mn8O24,43.36372073,15.375,300,0,787.5,2778.625,20.6,7,0.26,0,32,230,5,-6.474094858,1.55,2.8,9.05,5,5,-1.92352226,5,277.23375,3322.25,7,13.217625,2.2675,0.25,0,290,7,3737,1.79,6,1,473.75,5,5,0.822596939,9,219.74,-1.92352226,26.12,0.230769231,8,5,10.51,0,1,-0.025696621,8.01,-6.598552727,7.57494268,1.601375,0,1.16,9,6.90303367,6,12.25,-2.08125,7.82,21.7,2.125,6.4615,25.4,-0.25125,5,-8.87041076,8,6.75,18.4
1,Ba2La6Ni8O24,162.3085821,11.225,300,1,787.5,3163.625,20.6,10,0.26,1,36.5,230,2,-4.758458998,1.91,2.8,9.05,2,2,-1.92352226,2,356.11375,3322.25,10,14.481625,2.1825,0.25,0,290,10,3737,1.62,6,0,443.75,2,8,1.222797955,9,377.5,-1.92352226,26.12,0.196721311,8,8,10.33,1,1,-0.004212141,8.01,-4.861432387,5.09579251,1.604375,0,1.16,9,5.663458585,6,67.75,-3.36125,90.7,13.4,2.125,6.5615,25.4,-0.43125,8,-5.43913904,8,6.75,18.4
1,Ba2La6Sc8O24,14.09444405,9.525,300,0,787.5,3215.625,20.6,3,0.26,0,11.5,230,9,-5.124935058,1.36,2.8,9.05,9,9,-1.92352226,9,319.76375,3322.25,3,11.797625,2.4175,0.25,0,290,3,3737,2.09,6,0,668.75,9,1,1.39968624,9,304.8,-1.92352226,26.12,1.090909091,8,1,22.2,0,1,-0.007330341,8.01,-5.231026647,4.45180104,1.784375,0,1.16,9,5.34146285,6,21.3,-2.81625,15.8,10,2.125,6.014,25.4,-0.15625,1,-6.17209116,8,6.75,18.4
0,Ba2La6Ti8O24,14.81005156,8.825,300,0,787.5,3441.125,20.6,4,0.26,0,27.5,230,8,-5.869523533,1.54,2.8,9.05,8,8,-1.92352226,8,379.96375,3322.25,4,12.187625,2.3725,0.25,0,290,4,3737,2,6,0,448.75,8,2,2.093685692,9,425.2,-1.92352226,26.12,0.279069767,8,2,16.84,0,1,-0.007598881,8.01,-5.975883662,2.97615095,1.705375,0,1.16,9,4.603637805,6,22.25,-4.06125,21.9,8.6,2.125,6.154,25.4,-0.24625,2,-7.66126811,8,6.75,18.4
0,Ba2La6V8O24,53.85203387,8.725,300,0,787.5,3486.125,20.6,5,0.26,0,29,230,7,-6.508519823,1.63,2.8,9.05,7,7,-1.92352226,7,390.71375,3322.25,5,12.722625,2.3325,0.25,0,290,5,3737,1.92,6,1,558.75,7,3,0.965314244,9,446.7,-1.92352226,26.12,0.260869565,8,3,13.01,0,1,0.049380624,8.01,-6.557900447,6.45502198,1.641875,0,1.16,9,6.34307332,6,37.25,-6.16125,30.7,8.4,2.125,6.114,25.4,-0.29125,3,-8.93926069,8,6.75,18.4
0,Ba2Nd6Fe8O24,132.8149808,11.0625,300,0,787.5,3026.375,20.6,8,0.13,0,35.75,230,4,-6.119714575,1.83,2.8,10.325,4,4,-1.92352226,4,298.655,3029.75,8,13.363125,2.195,0.34,0,290,8,3347,1.72,6,1,513.75,4,6,0.462640369,10,349.5,-1.92352226,28.62,0.3,8,6,10.73,0,1,0.04934964,8.01,-6.169064215,6.45149343,1.580875,0,1.29,9,4.718107366,6,24.25,-1.81875,80.2,11.8,1.9,6.66025,28.6,-0.37625,6,-8.28548436,8,7.5,18.4
0,Ba2Pr6Co8O24,62.49404951,11.1,300,0,787.5,3250.625,20.6,9,0.29,0,36.5,230,3,-5.473686008,1.88,2.8,9.2,3,3,-1.92352226,3,328.91125,3358.25,9,13.737125,2.18125,0.41,0,290,9,3785,1.67,6,0,395.3,3,7,0.503863079,11,373.3,-1.92352226,27.7,0.25862069,8,7,10.44,0,1,-0.003167493,8.01,-5.57082109,6.14041474,1.5895,0,1.13,9,4.617171509,6,47.25,-3.32875,100,13,1.825,6.629,28.3,-0.405,7,-6.98008657,8,8.25,18.4
1,Ba2Pr6Cr8O24,33.65498379,7.05,300,0,787.5,3151.625,20.6,6,0.29,0,32,230,6,-6.736046513,1.66,2.8,9.2,6,6,-1.92352226,5,312.01125,3358.25,6,13.457125,2.27125,0.41,0,290,6,3785,1.85,6,1,548.75,5,5,0.387854046,11,339.5,-1.92352226,27.7,0.306122449,8,5,11.17,0,1,0.046529315,8.01,-6.783484788,7.97704267,1.5875,0,1.13,9,5.535485474,6,44.25,-5.23375,93.7,4.9,1.825,6.082,28.3,-0.295,5,-9.50480758,8,8.25,18.4
0,Ba2Pr6Fe8O24,58.88531967,10.5,300,0,787.5,3190.625,20.6,8,0.29,0,35,230,4,-6.126384903,1.83,2.8,9.2,4,4,-1.92352226,4,317.01125,3358.25,8,13.297125,2.20625,0.41,0,290,8,3785,1.72,6,1,513.75,4,6,0.479567764,11,349.5,-1.92352226,27.7,0.272727273,8,6,10.73,0,1,0.046983795,8.01,-6.173368698,6.45149343,1.5835,0,1.13,9,4.772710854,6,24.25,-2.13375,80.2,11.8,1.825,6.634,28.3,-0.38,6,-8.28548436,8,8.25,18.4
